French,English
terre,earth
place,square
tué,killed
type,type
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,same
prie,pray
devant,in front
trouve,found
partie,part
suite,after
compris,including
matin,morning
leurs,their
aucun,any
arrivé,arrived
dessus,above
chérie,sweetheart
mettre,put
aide,help
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,kind
aimerais,would like
droit,law
donne,give
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,big
côté,side
venu,come
loin,far away
laisser,leave
donner,give
jouer,play
savais,knew
compte,account
s,s
parlé,talked
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,ia
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,film
aucune,any
fort,strong
façon,way
pays,country
prêt,ready
madame,madam
femmes,women
affaire,case
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,location
fou,crazy
corps,body
hier,yesterday
dont,of which
désolée,sorry
grande,big
point,point
cinq,five
dehors,outside
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,requested
possible,possible
mains,hands
ainsi,so
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,market
tour,turn
école,school
manger,eat
plutôt,rather
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,stop
essaie,try
envie,want
bientôt,soon
instant,instant
dernier,last
affaires,business
arriver,arrive
demander,ask
meilleur,better
font,do
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,dr
tellement,so much
tomber,fall
journée,day
voulait,wanted
appeler,call
bureau,office
confiance,trust
garde,guard
attendre,wait
numéro,number
serai,will be
dur,hard
á,at
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will do
prend,take
cul,ass
abord,first
important,important
peine,sentence
croyais,believed
mot,word
devez,must
suffit,is enough
minute,minute
ferme,farm
ben,well
plaisir,pleasure
chien,dog
jeu,game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,see
parents,parents
lls,lls
dedans,in
entrer,enter
lit,bed
parfait,perfect
fous,crazy
mlle,miss
rentrer,go back
ait,have
musique,music
arrêtez,stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,wait
parfois,sometimes
téléphone,phone
retour,back
ira,will will will
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,thought
l,l
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,like
ci,here
ferai,will do
président,president
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,prison
john,john
sors,go out
café,coffee
vaut,worth
mauvais,bad
chéri,Darling
oublié,forgotten
bras,arm
i,i
gentil,nice
faute,fault
équipe,team
exactement,exactly
cœur,heart
penser,to think
changer,change
commence,start
lieu,location
entendre,hear
ies,ies
roi,king
plan,plan
partout,everywhere
joue,cheek
cher,expensive
morts,dead
rendre,make
écrit,written
travailler,work
malade,sick
sinon,otherwise
génial,awesome
regarder,watch
veulent,want
montrer,show
rentre,come back
travaille,work
armée,army
voulu,wanted
cherche,seek
état,state
boire,drink
sécurité,security
dès,from
esprit,mind
année,year
dix,ten
york,york
laissé,left
bois,wood
mets,put
propre,clean
soyez,be
jack,jack
essayer,try
faisait,did
tôt,early
surtout,especially
arme,weapon
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse
simple,simple
penses,think
parles,talk
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,late
allait,was going
d,d
sujet,topic
appris,learned
ensuite,then
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,were
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end
changé,changed
sérieux,serious
inquiète,worried
âge,age
photo,photo
rue,street
tirer,shoot
comprendre,understand
face,face
semaines,weeks
marché,market
questions,questions
honneur,honor
ciel,sky
allé,gone
garder,keep
chemin,way
grave,serious
gauche,left
petits,small
courant,current
amie,friend
nouvelles,news
avion,plane
con,con
content,happy
force,force
millions,millions
oublie,forget
devoir,duty
prochaine,next
prix,price
propos,About
bateau,boat
bouge,move
voix,voice
rouge,red
restez,stay
celle,that
pouvais,could
personnes,people
ferais,would
début,start
espèce,species
gueule,mouth
acheter,buy
continue,keep
sort,come out
faim,hungry
long,long
j,j
voyage,travel
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,thanks
sûre,sure
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,was going
occupe,busy
devait,had
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,win
laissez,leave
erreur,error
cru,believed
pars,go
bizarre,weird weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn to learn
commencé,started
sauver,save
seconde,second
pensez,think
allô,Hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty
revenir,come back
scène,scene
pieds,feet
n,not
devons,must
groupe,group
carte,card
aurai,will have
effet,effect
neuf,new
fallait,had to
monte,go up
battre,beat
noël,Christmas
venue,come
mots,words
tire,shoot
droite,right
libre,free
soeur,sister
situation,situation
seront,will will
faux,false
bordel,mess
foutre,fuck
lumière,light
euh,uh
incroyable,unbelievable
tue,kill
joli,pretty
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,listen
george,george
joe,joe
vieille,old
entrez,come in
intérieur,interior
coin,corner
auras,will have
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,beautiful
dos,back
occuper,occupy
présent,present
retrouver,find
réussi,successful
frank,frank
rencontrer,meet
aviez,had
meilleure,better
âme,soul
prêts,ready
doucement,gently
table,table
lettre,letter
rappelle,reminder
sam,sam
fut,was
risque,risk
ordres,orders
appel,call
commencer,start
terminé,finished
agit,acts
blanc,white
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,quiet
anniversaire,anniversary
déjeuner,lunch
disais,said
bord,edge
tom,tom
jeunes,young
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hate
clair,clear
marcher,walk
disait,said
mauvaise,bad
envoyé,sent
â,at
professeur,professor
heureuse,happy
doivent,must
midi,noon
lire,read
moyen,medium
ferait,would
commandant,commander
vraie,true
sept,seven
forme,form
tombe,fall
silence,silence
sortez,get out
connaître,know
puisse,can
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,b
su,knew
porter,carry
télé,TV
vivant,living
jure,swear
disent,say
mr,mr
serez,will be
devriez,should
devenu,become
aimé,loved
diable,devil
ligne,line
mission,mission
suppose,suppose
chacun,each
autour,around
pote,buddy
grosse,big
expliquer,explain
arrivée,arrival
monter,go up
balle,ball
selon,according to
photos,photos
contrôle,control
prête,ready
anglais,English
sorti,out
k,k
bons,good
disparu,missing
tenir,hold
simplement,just
quitter,leave
envoie,send
paul,paul
aimer,love
voie,track
paris,paris
classe,class
huit,eight
offre,offer
poste,post
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy
michael,michael
mange,eat
bravo,well done
arrière,back
amérique,america
suivre,follow
aille,go
oublier,forget to forget
peuple,people
baiser,kiss
rencontré,met
honte,shame
connard,asshole
trou,hole
retourner,return
chanson,song
change,exchange
arrêté,arrested
enfer,hell
écrire,write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,band
bob,bob
rend,returned
compagnie,company
connu,known
secours,emergency
danse,dance
met,met
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,imagine
boîte,box
joué,played
triste,sad
sud,South
lu,read
tel,such
merveilleux,wonderful
pute,whore
aie,have
ressemble,looks like
coucher,sleep
ennuis,trouble
volé,stolen
sortie,exit
devais,had
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,stupid
retourne,returns
approche,approach
pourtant,yet
plusieurs,several
rire,laugh
but,goal
sergent,sergeant
public,public
